ds_tp_venda_ecom,dt_venda,cd_prod_cor,sg_tamanho,Soma de qt_venda
omnichannel,2024-06-28 00:00:00,AC.03.0014|007,UN,1
omnichannel,2024-06-28 00:00:00,AC.26.0017|007,UN,2
omnichannel,2024-06-28 00:00:00,BE.13.0096|007,M,1
omnichannel,2024-06-28 00:00:00,BE.13.0103|007,38,1
omnichannel,2024-06-28 00:00:00,BE.15.0030|007,M,1
omnichannel,2024-06-28 00:00:00,CD.03.0085|035,43,1
omnichannel,2024-06-28 00:00:00,CD.07.0136|027,40,1
omnichannel,2024-06-28 00:00:00,CD.07.0139|027,38,1
omnichannel,2024-06-28 00:00:00,CD.07.0146|027,39,1
omnichannel,2024-06-28 00:00:00,CD.08.0097|007,38,1
omnichannel,2024-06-28 00:00:00,CF.05.0007|129,46,1
omnichannel,2024-06-28 00:00:00,CF.06.0056|005,48,1
omnichannel,2024-06-28 00:00:00,CF.12.0018|007,44,1
omnichannel,2024-06-28 00:00:00,CF.12.0018|158,44,1
omnichannel,2024-06-28 00:00:00,CF.12.0024|012,42,1
omnichannel,2024-06-28 00:00:00,CF.12.0024|097,40,1
omnichannel,2024-06-28 00:00:00,CF.12.0035|148,44,1
omnichannel,2024-06-28 00:00:00,CF.12.0036|003,42,2
omnichannel,2024-06-28 00:00:00,CI.01.0015|007,95,1
omnichannel,2024-06-28 00:00:00,CI.01.0116|027/007,85,2
omnichannel,2024-06-28 00:00:00,CI.01.0116|027/007,90,1
omnichannel,2024-06-28 00:00:00,CI.01.0130|064,95,1
omnichannel,2024-06-28 00:00:00,CI.03.0217|007,115,1
omnichannel,2024-06-28 00:00:00,CI.03.0225|007,85,1
omnichannel,2024-06-28 00:00:00,CI.03.0227|162,85,1
omnichannel,2024-06-28 00:00:00,CI.03.0229|027,100,1
omnichannel,2024-06-28 00:00:00,CI.03.0229|027,95,2
omnichannel,2024-06-28 00:00:00,CJ.07.0212|004,44,1
omnichannel,2024-06-28 00:00:00,CJ.07.0215|004,42,1
omnichannel,2024-06-28 00:00:00,CJ.07.0215|004,44,3
omnichannel,2024-06-28 00:00:00,CJ.07.0248|126,44,1
omnichannel,2024-06-28 00:00:00,CJ.07.3745|004,44,1
omnichannel,2024-06-28 00:00:00,CJ.11.0119|003,48,1
omnichannel,2024-06-28 00:00:00,CJ.11.0217|004,42,1
omnichannel,2024-06-28 00:00:00,CJ.11.0233|148,44,1
omnichannel,2024-06-28 00:00:00,CJ.11.6138|148,40,1
omnichannel,2024-06-28 00:00:00,CJ.13.0174|007,38,1
omnichannel,2024-06-28 00:00:00,CJ.13.0174|007,40,1
omnichannel,2024-06-28 00:00:00,CJ.13.0174|007,42,1
omnichannel,2024-06-28 00:00:00,CJ.13.0174|007,44,2
omnichannel,2024-06-28 00:00:00,CJ.13.0178|126,40,1
omnichannel,2024-06-28 00:00:00,CJ.13.4786|148,40,1
omnichannel,2024-06-28 00:00:00,CJ.13.4787|148,40,1
omnichannel,2024-06-28 00:00:00,CJ.13.4791|004,40,1
omnichannel,2024-06-28 00:00:00,CJ.13.4807|007,38,1
omnichannel,2024-06-28 00:00:00,CL.32.0017|184,M,1
omnichannel,2024-06-28 00:00:00,CL.32.0042|028,G,1
omnichannel,2024-06-28 00:00:00,CL.32.0042|043,M,1
