dt_estoque,cd_prod_cor,sg_tamanho,Soma de qt_estoque
2024-09-25 00:00:00,AC.02.0003|554,19,3
2024-09-25 00:00:00,AC.02.0003|554,21,2
2024-09-25 00:00:00,AC.02.0003|554,23,2
2024-09-25 00:00:00,AC.02.0003|554,25,2
2024-09-25 00:00:00,AC.03.0011|007,UN,68
2024-09-25 00:00:00,AC.03.0013|046,UN,10
2024-09-25 00:00:00,AC.03.0014|007,UN,17
2024-09-25 00:00:00,AC.05.0002|163,UN,3
2024-09-25 00:00:00,AC.07.0118|007,UN,4
2024-09-25 00:00:00,AC.07.0119|007,UN,5
2024-09-25 00:00:00,AC.07.0121|027,UN,27
2024-09-25 00:00:00,AC.07.0122|007,UN,84
2024-09-25 00:00:00,AC.07.0122|027,UN,7
2024-09-25 00:00:00,AC.07.0127|064,UN,1
2024-09-25 00:00:00,AC.07.0129|007,UN,11
2024-09-25 00:00:00,AC.07.0129|206,UN,12
2024-09-25 00:00:00,AC.07.0130|007,UN,5
2024-09-25 00:00:00,AC.07.0132|007,UN,3
2024-09-25 00:00:00,AC.07.0132|027,UN,8
2024-09-25 00:00:00,AC.07.0133|064,UN,1
2024-09-25 00:00:00,AC.07.0139|007,UN,2
2024-09-25 00:00:00,AC.07.0139|027,UN,3
2024-09-25 00:00:00,AC.07.0140|007,UN,16
2024-09-25 00:00:00,AC.07.0142|007,UN,10
2024-09-25 00:00:00,AC.07.0142|027,UN,10
2024-09-25 00:00:00,AC.07.0143|007,UN,19
2024-09-25 00:00:00,AC.07.0143|027,UN,16
2024-09-25 00:00:00,AC.07.0144|007/010,UN,14
2024-09-25 00:00:00,AC.07.0144|027/139,UN,15
2024-09-25 00:00:00,AC.09.0004|163,UN,4
2024-09-25 00:00:00,AC.09.0005|163,UN,2
2024-09-25 00:00:00,AC.09.0006|163,UN,3
2024-09-25 00:00:00,AC.09.0007|163,UN,2
2024-09-25 00:00:00,AC.09.0008|163,UN,2
2024-09-25 00:00:00,AC.09.0009|163,UN,2
2024-09-25 00:00:00,AC.14.0028|007/027,UN,0
2024-09-25 00:00:00,AC.14.0029|007,UN,1
2024-09-25 00:00:00,AC.16.0073|010/027,P,0
2024-09-25 00:00:00,AC.22.0002|163,UN,3
2024-09-25 00:00:00,AC.22.0003|163,UN,2
2024-09-25 00:00:00,AC.26.0017|007,UN,28
2024-09-25 00:00:00,AC.31.0002|035,UN,1
2024-09-25 00:00:00,AC.35.0002|098,UN,113
2024-09-25 00:00:00,BE.06.0153|010,38,2
2024-09-25 00:00:00,BE.06.0153|010,40,3
2024-09-25 00:00:00,BE.06.0153|010,42,3
2024-09-25 00:00:00,BE.06.0153|010,44,2
2024-09-25 00:00:00,BE.06.0153|010,48,1
2024-09-25 00:00:00,BE.06.0153|505,38,1
2024-09-25 00:00:00,BE.06.0153|505,42,3
2024-09-25 00:00:00,BE.07.0979|158,42,1
2024-09-25 00:00:00,BE.07.0981|010,38,5
2024-09-25 00:00:00,BE.07.0981|010,40,7
2024-09-25 00:00:00,BE.07.0981|010,42,13
2024-09-25 00:00:00,BE.07.0981|010,44,14
2024-09-25 00:00:00,BE.07.0981|010,46,11
2024-09-25 00:00:00,BE.07.0981|010,48,8
2024-09-25 00:00:00,BE.07.0981|010,50,2
2024-09-25 00:00:00,BE.07.0981|129,44,8
2024-09-25 00:00:00,BE.07.0981|129,46,12
2024-09-25 00:00:00,BE.07.0981|129,48,5
2024-09-25 00:00:00,BE.07.0981|129,50,1
2024-09-25 00:00:00,BE.07.0981|139,38,2
