ds_tp_venda_ecom,dt_venda,cd_prod_cor,sg_tamanho,Soma de Indicador_Estoque_coluna
omnichannel,2024-09-25 00:00:00,ML.02.0676|003,2,0
omnichannel,2024-09-25 00:00:00,CD.02.0133|001,37/38,0
omnichannel,2024-09-25 00:00:00,BE.13.0054|010,38,1
omnichannel,2024-09-25 00:00:00,CD.08.0188|007,38,0
omnichannel,2024-09-25 00:00:00,CD.08.0200|001,38,0
omnichannel,2024-09-25 00:00:00,ML.18.0318|001,38,0
omnichannel,2024-09-25 00:00:00,ML.18.0373|001,39,0
omnichannel,2024-09-25 00:00:00,CD.02.0029|007,39/40,0
omnichannel,2024-09-25 00:00:00,CD.02.0152|001/205,39/40,1
omnichannel,2024-09-25 00:00:00,ML.02.0676|003,4,0
omnichannel,2024-09-25 00:00:00,CJ.11.0232|148,40,1
omnichannel,2024-09-25 00:00:00,CJ.11.0233|148,40,1
omnichannel,2024-09-25 00:00:00,CJ.13.4793|004,40,1
omnichannel,2024-09-25 00:00:00,CJ.13.4824|007,40,1
omnichannel,2024-09-25 00:00:00,CL.09.0729|021,40,1
omnichannel,2024-09-25 00:00:00,CL.35.0092|018,40,0
omnichannel,2024-09-25 00:00:00,ML.18.0341|148,40,1
omnichannel,2024-09-25 00:00:00,ML.18.0373|001,40,0
omnichannel,2024-09-25 00:00:00,ML.18.0384|001,40,1
omnichannel,2024-09-25 00:00:00,CD.08.0176|001/001,42,1
omnichannel,2024-09-25 00:00:00,CF.06.0056|010,42,0
omnichannel,2024-09-25 00:00:00,CJ.13.4793|004,42,1
omnichannel,2024-09-25 00:00:00,CL.35.0082|021,42,1
omnichannel,2024-09-25 00:00:00,CL.37.0064|021,42,1
omnichannel,2024-09-25 00:00:00,CL.37.0066|007,42,1
omnichannel,2024-09-25 00:00:00,CL.40.0046|010,42,0
omnichannel,2024-09-25 00:00:00,BE.07.3004|007,44,1
omnichannel,2024-09-25 00:00:00,CJ.07.0218|004,44,0
omnichannel,2024-09-25 00:00:00,CL.35.0081|010,44,1
omnichannel,2024-09-25 00:00:00,CL.35.0082|021,44,0
omnichannel,2024-09-25 00:00:00,CL.35.0082|061,44,1
omnichannel,2024-09-25 00:00:00,ML.18.0359|001,44,1
omnichannel,2024-09-25 00:00:00,CJ.07.0241|004,46,0
omnichannel,2024-09-25 00:00:00,CJ.11.0232|148,46,1
omnichannel,2024-09-25 00:00:00,CJ.13.0174|007,46,0
omnichannel,2024-09-25 00:00:00,CL.09.0729|010,46,0
omnichannel,2024-09-25 00:00:00,CL.32.0046|184,46,1
omnichannel,2024-09-25 00:00:00,CL.35.0048|005,46,1
omnichannel,2024-09-25 00:00:00,CL.35.0048|007,46,1
omnichannel,2024-09-25 00:00:00,CL.35.0048|021,46,1
omnichannel,2024-09-25 00:00:00,CL.35.0048|184,46,1
omnichannel,2024-09-25 00:00:00,CL.37.0039|332,46,1
omnichannel,2024-09-25 00:00:00,PL.16.0085|046,46,0
omnichannel,2024-09-25 00:00:00,CJ.07.3753|148,48,1
omnichannel,2024-09-25 00:00:00,CJ.11.6212|148,48,1
omnichannel,2024-09-25 00:00:00,CL.09.0729|010,48,1
omnichannel,2024-09-25 00:00:00,CO.07.0252|003,48,1
omnichannel,2024-09-25 00:00:00,CO.07.0252|332,50,0
omnichannel,2024-09-25 00:00:00,CJ.07.0250|004,52,0
omnichannel,2024-09-25 00:00:00,CO.07.0203|007,52,0
omnichannel,2024-09-25 00:00:00,CO.07.0250|007,52,0
omnichannel,2024-09-25 00:00:00,CO.07.0251|180,52,0
omnichannel,2024-09-25 00:00:00,CO.07.0255|148,56,1
omnichannel,2024-09-25 00:00:00,CI.01.0116|027/007,85,1
omnichannel,2024-09-25 00:00:00,CI.01.0135|007/027,90,1
omnichannel,2024-09-25 00:00:00,CI.03.0217|007,90,1
omnichannel,2024-09-25 00:00:00,CI.01.0135|007/027,95,1
omnichannel,2024-09-25 00:00:00,BE.13.0203|156,G,0
omnichannel,2024-09-25 00:00:00,CL.32.0043|129,G,0
omnichannel,2024-09-25 00:00:00,CS.01.3678|001,G,1
omnichannel,2024-09-25 00:00:00,CS.01.3687|001,G,1
omnichannel,2024-09-25 00:00:00,CS.01.3691|007,G,1
